"DATA","MAQUINA","INICIO","FIM","COD_MOTIVO","DESC","GRUPO","OBS"
"2025-11-11","Perfil ""U"" Marafon","12:40","13:00","RE007","Regulagem-Problema de Processo","RET",""
"2025-11-11","Perfil ""U"" Marafon","13:00","13:18","TU004","Retirada de Material","TU",""
"2025-11-11","Perfil ""U"" Marafon","13:18","13:44","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","13:44","14:14","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" Marafon","14:14","14:23","RE007","Regulagem-Problema de Processo","RET",""
"2025-11-11","Perfil ""U"" Marafon","14:23","14:43","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","14:43","15:00","TU004","Retirada de Material","TU",""
"2025-11-11","Perfil ""U"" Marafon","15:00","15:15","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","15:15","15:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Perfil ""U"" Marafon","15:30","15:52","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Conformadora de Telhas","12:10","13:10","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Conformadora de Telhas","13:10","13:20","IN024","Aguardando equipamento compartilhado","IND",""
"2025-11-11","Conformadora de Telhas","13:20","15:15","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","15:15","15:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Conformadora de Telhas","15:30","16:00","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","16:00","16:20","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","16:20","16:40","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","16:40","17:00","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","17:00","17:33","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","06:30","07:30","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" BR200 Regiane","07:30","07:35","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","07:38","08:05","IN001","Diálogo de Segurança do Trabalho (DDS)","IND",""
"2025-11-11","Perfil ""U"" BR200 Regiane","08:10","08:55","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","08:55","09:30","IN013","Aguardando ferramental","IND",""
"2025-11-11","Perfil ""U"" BR200 Regiane","09:05","09:25","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","09:25","10:00","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" BR200 Regiane","10:00","11:00","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","11:02","12:02","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Perfil ""U"" Marafon","15:52","16:06","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" Marafon","16:06","16:15","RE007","Regulagem-Problema de Processo","RET",""
"2025-11-11","Perfil ""U"" Marafon","16:15","16:20","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","16:20","16:40","TU002","Carregamento de bobina/matéria prima","IND",""
