"DATA","MAQUINA","CODIGO","QTD","DESCRICAO","DESTINO","COMP","PESO_TOTAL"
"2026-02-02","Perfil ""U"" Marafon","00670k","387","PERFIL UE 75X40X15X1,95 GALV","Estoque","",""
"2026-02-20","Prensa Estampa 09","81667","873","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-23","Prensa Estampa 09","81667","1060","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-24","Prensa Estampa 04","81627","520","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-23","Prensa Estampa 04","81627","520","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-03","Rodadeira 01","81627","1100","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-02","Rodadeira 01","81627","280","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-02","Prensa Debrum 03","81627","1500","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-03","Prensa Debrum 03","81627","1601","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-03","Prensa Estampa 09","81667","724","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-03","Prensa Estampa 09","81053","450","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-03-02","Prensa Estampa 09","81053","1147","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-03-02","Prensa Recorte 01","81627","1600","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-02","Prensa Recorte 01","81055","332","CACAMBA M 60 SUPER","Estoque","",""
"2026-03-02","Prensa Recorte 01","81058","768","CACAMBA M 75 PLUS","Estoque","",""
"2026-02-27","Prensa Estampa 04","81627","578","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02003","100","TELHA GALVALUME TP 40 0,43MM 3,00M","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02004","16","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02005","100","TELHA GALVALUME TP 40 0,43MM 5,00M","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02000","10","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02000","51","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
"2026-02-13","Prensa Debrum 03","81627","389","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-13","Prensa Debrum 03","81054","490","CACAMBA M 75 MASTER","Estoque","",""
"2026-02-12","Prensa Debrum 03","81626","975","CACAMBA M 40 POP","Estoque","",""
"2026-02-12","Prensa Debrum 03","81627","646","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-11","Prensa Estampa 04","81627","315","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-12","Prensa Estampa 04","81627","430","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-13","Rodadeira 01","81627","330","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-13","Rodadeira 01","81054","119","CACAMBA M 75 MASTER","Estoque","",""
"2026-02-12","Rodadeira 01","81626","180","CACAMBA M 40 POP","Estoque","",""
"2026-02-12","Rodadeira 01","81626","1000","CACAMBA M 40 POP","Estoque","",""
"2026-02-13","Rodadeira 02","81627","197","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-13","Rodadeira 02","81054","525","CACAMBA M 75 MASTER","Estoque","",""
"2026-02-14","Prensa Debrum 03","81054","536","CACAMBA M 75 MASTER","Estoque","",""
"2026-02-13","Prensa Recorte 01","81667","562","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-13","Prensa Recorte 01","81667","1509","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-12","Rodadeira 01","81667","500","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-12","Rodadeira 03","81667","995","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-13","Rodadeira 03","81667","943","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-10","Rodadeira 03","81667","767","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-11","Rodadeira 03","81667","1000","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-11","Rodadeira 02","81627","610","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-11","Rodadeira 02","81626","805","CACAMBA M 40 POP","Estoque","",""
"2026-02-10","Rodadeira 02","81627","825","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-10","Rodadeira 02","81627","400","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-10","Prensa Recorte 01","81667","1535","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-11","Prensa Recorte 01","81667","1000","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-11","Prensa Debrum 03","81627","708","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-11","Prensa Debrum 03","81626","570","CACAMBA M 40 POP","Estoque","",""
"2026-02-10","Prensa Debrum 03","81627","1450","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-10","Rodadeira 01","81627","670","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-11","Rodadeira 01","81626","290","CACAMBA M 40 POP","Estoque","",""
"2026-02-11","Prensa Recorte 01","81627","710","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-11","Prensa Recorte 01","81627","1210","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-10","Prensa Recorte 01","81627","1216","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-10","Prensa Estampa 04","81627","344","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-09","Prensa Estampa 04","81627","300","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-09","Prensa Estampa 04","81053","660","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-02-10","Prensa Estampa 09","81053","902","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-02-11","Prensa Estampa 09","81053","838","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-02-11","Prensa Estampa 09","81053","128","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-02-06","Prensa Recorte 02","81627","1400","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-08","Rodadeira 03","81667","300","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-06","Rodadeira 03","81667","607","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-09","Prensa Debrum 03","81823","614","CACAMBA M 50 5.0","Estoque","",""
"2026-02-09","Prensa Debrum 03","81627","800","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-06","Prensa Debrum 03","81823","1520","CACAMBA M 50 5.0","Estoque","",""
"2026-02-09","Rodadeira 02","81823","300","CACAMBA M 50 5.0","Estoque","",""
"2026-02-09","Rodadeira 02","81627","1050","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-07","Rodadeira 02","81823","894","CACAMBA M 50 5.0","Estoque","",""
"2026-02-09","Rodadeira 01","81823","335","CACAMBA M 50 5.0","Estoque","",""
